property_type,society,sector,price,price_per_sqft,area,areaWithType,bedRoom,bathroom,balcony,floorNum,facing,agePossession,super_built_up_area,built_up_area,carpet_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score,area_room_ratio
house,independent,sector 70a,2.1,35000,600,Carpet area: 600 (55.74 sq.m.),3,2,1,3,,New Property,,,600,0,0,0,0,0,0,0,200
house,madan puri,sector 7,0.75,12500,600,Plot area 600(55.74 sq.m.),3,5,3,3,South-East,Moderately Old,,600,,0,0,0,0,0,0,0,200
house,huda floor,sector 38,4,22222,1800,Plot area 1800(167.23 sq.m.)Built Up area: 4800 sq.ft. (445.93 sq.m.)Carpet area: 3800 sq.ft. (353.03 sq.m.),9,9,3+,2,East,Relatively New,,4800,3800,0,0,1,1,0,1,152,200
house,independent,sector 12,2.5,13889,1800,Plot area 1800(167.23 sq.m.),9,5,2,1,South-East,Old Property,,1800,,0,0,0,1,0,0,8,200
house,independent,sector 6,0.5,8333,600,Plot area 600(55.74 sq.m.),3,3,2,2,East,Moderately Old,,600,,0,0,0,1,0,0,0,200
house,independent,sector 8,0.82,10224,802,Carpet area: 802 (74.51 sq.m.),4,4,0,2,,Undefined,,,802,0,0,0,0,0,0,0,200.5
house,independent,sector 11,2.1,17284,1215,Plot area 135(112.88 sq.m.),6,6,3+,3,,Relatively New,,1215,,0,0,0,0,0,0,14,202.5
house,independent,sector 45,4.49,24455,1836,Plot area 204(170.57 sq.m.),9,9,3+,3,North-West,Moderately Old,,1836,,0,0,0,0,1,1,90,204
house,independent,sector 6,0.66,10784,612,Plot area 612(56.86 sq.m.),3,2,1,2,,Old Property,,612,,0,0,0,0,0,0,36,204
house,independent,sector 12,1.2,14184,846,Plot area 846(78.6 sq.m.)Built Up area: 846 sq.ft. (78.6 sq.m.),4,4,2,2,North,Relatively New,,846,,0,0,0,1,0,1,7,211.5
flat,gls avenue 51,sector 92,0.5,7812,640,Super Built up area 640(59.46 sq.m.),3,3,1,0,,Relatively New,640,,,0,0,0,0,0,0,0,213.3333333
flat,gls avenue 51,sector 92,0.42,6562,640,Carpet area: 640 (59.46 sq.m.),3,3,1,2,,Relatively New,,,640,0,0,0,0,0,0,20,213.3333333
flat,gls avenue 51,sector 92,0.5,7812,640,Carpet area: 640 (59.46 sq.m.),3,3,1,12,,New Property,,,640,0,0,0,0,0,2,95,213.3333333
flat,gls avenue 51,sector 92,0.39,6075,642,Carpet area: 641.74 (59.62 sq.m.),3,3,3+,6,North,Relatively New,,,641.743718,0,0,0,0,0,0,104,214
house,independent,sector 7,1.2,11194,1072,Built Up area: 1072 (99.59 sq.m.),5,4,2,3,,Undefined,,1072,,0,0,0,0,0,0,0,214.4
flat,rof ananda,sector 95,0.37,5745,644,Carpet area: 644.12 (59.84 sq.m.),3,2,1,6,South-East,Relatively New,,,644.111776,0,0,0,1,0,1,72,214.6666667
flat,rof ananda,sector 95,0.38,5901,644,Carpet area: 644.12 (59.84 sq.m.),3,2,1,2,South-East,Relatively New,,,644.111776,0,0,0,1,0,1,66,214.6666667
house,independent,sector 47,5.15,26615,1935,Plot area 215(179.77 sq.m.),9,9,3+,3,East,Relatively New,,1935,,0,0,1,0,0,1,75,215
house,independent,sector 43,5.3,27390,1935,Plot area 215(179.77 sq.m.),9,9,3+,3,East,Moderately Old,,1935,,0,1,0,0,0,1,71,215
flat,signature global solera,sector 107,0.5,7752,645,Carpet area: 645 (59.92 sq.m.),3,2,2,6,North-East,Relatively New,,,645,0,0,0,0,1,0,49,215
flat,signature global solera,sector 107,0.52,8062,645,Carpet area: 645 (59.92 sq.m.),3,2,2,5,East,Relatively New,,,645,0,0,0,0,1,0,15,215
house,dlf city plots phase 2,sector 25,6.5,33592,1935,Plot area 215(179.77 sq.m.),9,9,3+,3,West,Old Property,,1935,,1,1,1,1,0,1,142,215
flat,signature global solera,sector 107,0.51,7907,645,Carpet area: 645 (59.92 sq.m.),3,2,2,9,South,Relatively New,,,645,0,0,0,0,1,0,15,215
flat,signature global solera,sector 107,0.5,7752,645,Carpet area: 645 (59.92 sq.m.),3,2,2,6,South-East,Relatively New,,,645,0,0,0,0,1,0,15,215
flat,rof ananda,sector 95,0.55,8527,645,Super Built up area 1000(92.9 sq.m.)Carpet area: 645 sq.ft. (59.92 sq.m.),3,2,2,14,East,New Property,1000,,645,1,0,0,0,0,1,81,215
house,independent,sector 28,0.7,8102,864,Plot area 864(80.27 sq.m.),4,2,0,2,North,Old Property,,864,,0,0,0,0,0,0,7,216
house,independent,sector 24,3.5,32407,1080,Plot area 120(100.34 sq.m.),5,4,3,3,North-West,Old Property,,1080,,0,0,0,0,0,0,15,216
house,independent,sector 6,1.25,11574,1080,Plot area 120(100.34 sq.m.)Built Up area: 120 sq.yards (100.34 sq.m.),5,5,1,2,South,New Property,,120,,0,0,0,1,0,0,0,216
flat,central park flower valley,sector 33,1.4,21538,650,Super Built up area 650(60.39 sq.m.),3,3,3,2,,Under Construction,650,,,0,0,0,0,0,0,54,216.6666667
house,independent,sector 25,7.6,38756,1961,Plot area 215(179.77 sq.m.),9,9,3,4,East,Relatively New,,1935,,1,0,1,1,0,1,84,217.8888889
house,independent,sector 3 phase 2,1.1,10000,1100,Built Up area: 1100 (102.19 sq.m.)Carpet area: 900 sq.ft. (83.61 sq.m.),5,4,2,1,East,Undefined,,1100,900,0,0,0,0,0,0,0,220
house,independent,sector 12,1.35,12217,1105,Plot area 150(125.42 sq.m.)Built Up area: 2052 sq.yards (1715.73 sq.m.),5,5,1,3,,Old Property,,2052,,0,0,0,0,0,0,31,221
house,independent,sector 4,0.47,10609,443,Plot area 49(40.97 sq.m.)Built Up area: 50 sq.yards (41.81 sq.m.)Carpet area: 48 sq.yards (40.13 sq.m.),2,2,1,2,East,New Property,,50,48,1,0,0,0,0,1,73,221.5
house,independent,manesar,1.1,6173,1782,Plot area 1782(165.55 sq.m.),8,8,0,1,,New Property,,1782,,0,0,0,0,0,0,0,222.75
flat,prime habitat,sector 99a,0.27,6054,446,Carpet area: 448 (41.62 sq.m.),2,2,1,10,South,Relatively New,,,448,0,0,0,0,0,0,67,223
house,independent,sector 8,0.82,9111,900,Plot area 100(83.61 sq.m.),4,3,3,2,North,Moderately Old,,900,,0,0,0,0,0,0,12,225
flat,laxmi pareena,sector 99a,0.3,6667,450,Carpet area: 450 (41.81 sq.m.),2,1,0,12,North,Undefined,,,450,0,0,0,0,0,0,0,225
house,independent,sector 46,2.4,26667,900,Plot area 100(83.61 sq.m.),4,4,3,3,East,Moderately Old,,900,,0,0,1,0,0,1,44,225
house,independent,sector 8,0.32,7111,450,Built Up area: 450 (41.81 sq.m.)Carpet area: 300 sq.ft. (27.87 sq.m.),2,3,1,1,North-East,Relatively New,,450,300,0,0,0,0,0,0,0,225
house,naman residency,sector 4,0.5,11111,450,Plot area 450(41.81 sq.m.),2,2,2,2,West,New Property,,450,,1,1,0,1,1,0,14,225
house,independent,sector 105,0.35,7778,450,Carpet area: 500 (46.45 sq.m.),2,2,1,2,East,Undefined,,,500,0,0,0,0,0,0,0,225
house,housing board colony,sector 28,3.5,25926,1350,Plot area 150(125.42 sq.m.),6,6,3,3,,Relatively New,,1350,,0,0,0,0,0,0,0,225
house,independent,sector 11,3.5,15556,2250,Built Up area: 2250 (209.03 sq.m.),10,1,0,1,,New Property,,2250,,0,0,0,0,0,0,0,225
house,independent,sector 4,1.1,6111,1800,Plot area 200(167.23 sq.m.),8,4,3+,2,West,Old Property,,1800,,0,0,0,0,0,0,7,225
house,independent,sector 105,0.37,8222,450,Plot area 450(41.81 sq.m.),2,2,1,1,,Moderately Old,,450,,0,0,0,0,1,0,0,225
house,independent,sector 7,0.95,21111,450,Plot area 450(41.81 sq.m.),2,1,1,3,,New Property,,450,,0,0,0,0,0,0,15,225
house,"nirmal enclave, maruti kunj road",sector 11,0.24,5333,450,Plot area 450(41.81 sq.m.),2,2,0,2,North,Relatively New,,450,,0,0,0,0,0,0,0,225
house,shivpuri,sector 7,2.8,12444,2250,Plot area 2250(209.03 sq.m.),10,7,3,1,,Old Property,,2250,,1,1,0,1,1,1,0,225
house,independent,sector 26,6,33333,1800,Plot area 200(167.23 sq.m.),8,5,3+,3,,Old Property,,1800,,0,0,0,0,0,1,9,225
house,huda ashok vihar phase,sector 4,0.7,10234,684,Plot area 684(63.55 sq.m.),3,2,1,2,North-East,New Property,,684,,1,0,0,0,0,0,7,228
flat,ramsons kshitij,sector 95,0.4,5839,685,Carpet area: 685 (63.64 sq.m.),3,2,2,6,,Undefined,,,685,0,0,0,0,0,0,0,228.3333333
flat,mvn athens,sohna road,0.27,5895,458,Carpet area: 457.81 (42.53 sq.m.),2,2,1,4,South-East,Relatively New,,,457.788667,0,0,0,0,1,1,35,229
flat,mvn athens,sohna road,0.27,5895,458,Carpet area: 457.52 (42.5 sq.m.),2,2,1,0,,Relatively New,,,457.46575,0,0,0,0,0,1,69,229
house,independent,sector 46,2.25,24510,918,Plot area 102(85.28 sq.m.)Built Up area: 90 sq.yards (75.25 sq.m.)Carpet area: 85 sq.yards (71.07 sq.m.),4,3,3,3,North-East,Relatively New,,90,85,1,0,0,0,0,1,35,229.5
house,independent,sector 46,4.35,23693,1836,Plot area 204(170.57 sq.m.),8,8,2,3,North-East,Relatively New,,1836,,1,0,0,1,0,1,19,229.5
house,independent,sector 10a,3.6,19608,1836,Plot area 204(170.57 sq.m.),8,4,3,3,North,Moderately Old,,1836,,0,0,0,1,0,1,28,229.5
flat,signature global the millennia 3,sector 37d,0.5,7143,700,Carpet area: 700 (65.03 sq.m.),3,3,2,2,,Undefined,,,700,0,0,0,0,0,0,31,233.3333333
flat,gls arawali homes,sohna road,0.28,5983,468,Carpet area: 468 (43.48 sq.m.),2,2,2,3,,Relatively New,,,468,0,0,0,0,0,0,42,234
flat,supertech basera,sector 79,0.36,7643,471,Built Up area: 546 (50.73 sq.m.)Carpet area: 471 sq.ft. (43.76 sq.m.),2,2,1,4,,New Property,,546,471,0,0,0,0,0,0,60,235.5
flat,pivotal devaan,sector 84,0.36,7595,474,Super Built up area 583(54.16 sq.m.)Carpet area: 481 sq.ft. (44.69 sq.m.),2,2,1,9,West,Relatively New,583,,481,0,0,1,0,0,2,80,237
flat,gls arawali homes,sohna road,0.32,6723,476,Built Up area: 476 (44.22 sq.m.),2,1,0,0,,Undefined,,476,,0,0,0,0,0,0,0,238
house,iffco nagar and 17b rwa,sector 17,3.5,24306,1440,Plot area 1440(133.78 sq.m.),6,5,3,3,East,Old Property,,1440,,0,0,0,0,0,0,44,240
house,unitech south city,sector 50,5.88,27222,2160,Plot area 240(200.67 sq.m.),9,9,3+,3,East,Relatively New,,2160,,1,1,0,1,1,2,128,240
flat,signature global solera,sector 107,0.28,5833,480,Carpet area: 489 (45.43 sq.m.),2,2,2,11,South,Relatively New,,,489,0,0,0,0,0,0,45,240
flat,signature global solera,sector 107,0.28,5833,480,Carpet area: 489 (45.43 sq.m.),2,2,2,0,North-East,Relatively New,,,489,0,0,0,0,0,0,45,240
house,independent,sector 105,0.65,9028,720,Plot area 80(66.89 sq.m.),3,2,1,1,East,Relatively New,,720,,0,0,0,1,1,0,14,240
flat,mvn athens,sohna road,0.25,5198,481,Built Up area: 481 (44.69 sq.m.),2,2,0,0,,Relatively New,,481,,0,0,0,0,0,0,37,240.5
flat,pivotal devaan,sector 84,0.35,7277,481,Super Built up area 583(54.16 sq.m.)Carpet area: 481 sq.ft. (44.69 sq.m.),2,2,1,10,West,Relatively New,583,,481,0,0,1,0,0,0,103,240.5
flat,gls arawali homes,sohna road,0.3,6237,481,Super Built up area 567(52.68 sq.m.)Carpet area: 480.53 sq.ft. (44.64 sq.m.),2,2,2,4,East,Relatively New,567,,480.53,0,0,0,0,0,2,120,240.5
flat,gls arawali homes,sohna road,0.29,6029,481,Carpet area: 480.53 (44.64 sq.m.),2,2,2,9,East,Relatively New,,,480.500496,0,0,0,0,0,0,55,240.5
flat,mvn athens,sohna road,0.25,5187,482,Carpet area: 481.73 (44.75 sq.m.),2,2,1,3,East,Relatively New,,,481.684525,0,0,0,0,0,0,51,241
flat,tulip lemon,sector 69,0.62,12863,482,Carpet area: 482 (44.78 sq.m.),2,2,1,4,North-East,Relatively New,,,482,0,0,0,0,0,1,108,241
flat,mvn athens,sohna road,0.26,5394,482,Carpet area: 481.74 (44.76 sq.m.),2,2,1,2,,Relatively New,,,481.792164,0,0,0,0,0,0,37,241
flat,mvn athens,sohna road,0.26,5394,482,Carpet area: 481.73 (44.75 sq.m.),2,2,1,5,,Relatively New,,,481.684525,0,0,0,0,0,0,95,241
flat,conscient habitat,sector 99a,0.27,5602,482,Carpet area: 484 (44.97 sq.m.),2,2,1,8,South-West,Relatively New,,,484,0,0,0,0,1,0,49,241
flat,mvn athens,sohna road,0.25,5187,482,Carpet area: 481.73 (44.75 sq.m.),2,2,1,0,North,Relatively New,,,481.684525,0,0,0,1,0,0,90,241
flat,pivotal devaan,sector 84,0.34,7039,483,Carpet area: 483 (44.87 sq.m.),2,2,1,1,East,Relatively New,,,483,0,0,1,0,0,1,84,241.5
flat,pivotal devaan,sector 84,0.35,7246,483,Carpet area: 483 (44.87 sq.m.),2,2,2,4,East,Relatively New,,,483,0,0,0,0,0,0,37,241.5
house,iffco nagar and 17b rwa,sector 17,2.98,20566,1449,Plot area 161(134.62 sq.m.),6,6,3+,3,East,Relatively New,,1449,,1,0,0,1,0,0,78,241.5
house,huda housing board colony,sector 31,4.6,31507,1460,Plot area 1460(135.64 sq.m.),6,4,3+,3,East,Old Property,,1460,,0,0,0,0,1,0,8,243.3333333
flat,signature global solera,sector 107,0.28,5726,489,Carpet area: 489 (45.43 sq.m.),2,2,2,6,West,Relatively New,,,489,0,0,0,0,0,0,45,244.5
flat,signature global solera,sector 107,0.27,5521,489,Carpet area: 489 (45.43 sq.m.),2,2,2,0,North-East,Relatively New,,,489,0,0,0,0,0,0,45,244.5
flat,signature global solera,sector 107,0.3,6135,489,Super Built up area 602(55.93 sq.m.)Carpet area: 489 sq.ft. (45.43 sq.m.),2,2,1,5,East,Relatively New,602,,489,0,0,0,0,0,0,57,244.5
house,independent,sector 47,4.3,29312,1467,Plot area 163(136.29 sq.m.),6,4,2,2,,Moderately Old,,1467,,0,0,0,0,1,0,0,244.5
house,uppal southend,sector 49,3.75,25562,1467,Plot area 163(136.29 sq.m.),6,6,3,3,East,Moderately Old,,1467,,0,0,0,0,1,0,49,244.5
flat,signature global solera,sector 107,0.28,5726,489,Carpet area: 489 (45.43 sq.m.),2,2,2,10,South,Relatively New,,,489,0,0,0,0,0,0,38,244.5
house,uppal southend,sector 49,3.75,25562,1467,Built Up area: 163 (136.29 sq.m.),6,6,3+,3,East,Moderately Old,,163,,1,0,0,0,0,1,26,244.5
flat,signature global solera,sector 107,0.29,5930,489,Carpet area: 489 (45.43 sq.m.),2,2,2,3,East,Relatively New,,,489,0,0,0,0,0,0,45,244.5
house,dlf city plots,sector 26,4,40775,981,Plot area 109(91.14 sq.m.),4,3,2,2,,Relatively New,,981,,0,0,0,0,0,1,0,245.25
flat,signature global solera,sector 107,0.28,5680,493,Carpet area: 489 (45.43 sq.m.),2,2,2,11,North,Relatively New,,,489,0,0,0,0,0,0,29,246.5
flat,signature global solera,sector 107,0.28,5680,493,Carpet area: 489 (45.43 sq.m.),2,2,2,6,West,Relatively New,,,489,0,0,0,0,0,0,45,246.5
house,independent,sector 47,4.6,26620,1728,Plot area 192(160.54 sq.m.),7,6,3+,4,,Moderately Old,,1728,,0,0,0,0,0,2,51,246.8571429
flat,pyramid urban homes 2,sector 86,0.41,8283,495,Carpet area: 501 (46.54 sq.m.),2,2,1,7,West,New Property,,,501,1,1,0,1,1,0,49,247.5
flat,pyramid urban homes 2,sector 86,0.42,8485,495,Carpet area: 501 (46.54 sq.m.),2,2,1,2,North-East,New Property,,,501,1,1,0,1,1,0,84,247.5
flat,zara aavaas,sector 104,0.49,6577,745,Super Built up area 745(69.21 sq.m.)Carpet area: 645 sq.ft. (59.92 sq.m.),3,2,2,7,,Under Construction,745,,645,0,0,0,0,0,0,74,248.3333333
flat,prime habitat,sector 99a,0.27,5433,497,Carpet area: 497 (46.17 sq.m.),2,2,1,4,North-East,New Property,,,497,0,0,0,0,0,0,7,248.5
flat,signature global solera,sector 107,0.28,5622,498,Carpet area: 489 (45.43 sq.m.),2,2,2,14,North-West,Relatively New,,,489,0,0,0,0,0,0,38,249
